"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Apr-2024","EQ","734.50","752.00","732.05","744.80","750.00","750.45","743.33","793.40","528.00","1,08,86,554","8,09,23,49,855.55","1,91,080"
"18-Apr-2024","EQ","752.05","759.95","742.00","751.70","746.10","744.80","750.48","793.40","528.00","1,45,89,648","10,94,92,56,502.45","2,71,371"
"16-Apr-2024","EQ","751.25","754.90","744.40","757.50","752.80","751.70","750.07","793.40","528.00","1,33,38,991","10,00,52,42,780.00","2,02,899"
"15-Apr-2024","EQ","759.80","763.30","748.75","766.30","758.90","757.50","756.89","793.40","528.00","1,13,56,572","8,59,57,00,637.00","2,03,154"
"12-Apr-2024","EQ","777.25","779.50","764.80","779.05","766.55","766.30","772.32","793.40","524.40","1,44,08,722","11,12,81,57,762.80","2,45,294"
"10-Apr-2024","EQ","766.50","780.70","763.65","764.20","777.40","779.05","772.90","793.40","524.40","1,45,30,669","11,23,07,49,541.10","2,01,570"
"09-Apr-2024","EQ","768.45","772.45","761.10","768.30","765.05","764.20","766.79","793.40","524.40","74,65,892","5,72,47,66,013.05","1,27,868"
"08-Apr-2024","EQ","766.05","770.00","761.80","764.75","767.60","768.30","766.03","793.40","524.40","97,97,174","7,50,49,31,342.05","1,93,392"
"05-Apr-2024","EQ","757.95","767.70","752.60","759.30","765.90","764.75","760.39","793.40","519.05","99,39,620","7,55,79,66,836.05","1,59,848"
"04-Apr-2024","EQ","775.00","775.30","758.10","771.05","760.80","759.30","763.24","793.40","519.05","1,58,89,530","12,12,74,83,574.70","2,63,762"
"03-Apr-2024","EQ","764.90","772.60","760.15","766.40","771.00","771.05","767.84","793.40","519.05","1,91,36,981","14,69,42,03,509.30","2,77,412"
"02-Apr-2024","EQ","758.20","768.75","753.35","758.30","765.95","766.40","761.63","793.40","519.05","1,57,13,063","11,96,75,15,949.70","1,99,522"
"01-Apr-2024","EQ","759.05","761.50","752.10","752.35","758.00","758.30","757.16","793.40","519.05","99,49,971","7,53,36,78,627.05","1,55,072"
"28-Mar-2024","EQ","737.75","759.55","736.90","733.30","752.95","752.35","750.83","793.40","501.55","2,17,05,116","16,29,67,64,834.75","2,50,615"
"27-Mar-2024","EQ","743.00","745.85","730.20","740.05","736.50","733.30","735.91","793.40","501.55","3,00,88,789","22,14,26,32,347.65","3,03,834"
"26-Mar-2024","EQ","743.05","747.85","738.50","746.70","741.80","740.05","741.15","793.40","501.55","1,46,78,342","10,87,88,01,267.10","4,71,853"
"22-Mar-2024","EQ","743.85","748.80","741.40","744.30","746.50","746.70","746.09","793.40","501.55","1,55,35,921","11,59,11,96,217.50","2,61,750"
"21-Mar-2024","EQ","742.00","750.60","740.55","736.25","742.80","744.30","745.38","793.40","501.55","1,51,61,161","11,30,08,17,864.00","2,97,397"
"20-Mar-2024","EQ","725.15","738.95","719.80","723.80","736.60","736.25","731.17","793.40","501.55","2,54,05,455","18,57,56,65,608.10","4,11,626"
"19-Mar-2024","EQ","730.00","734.35","721.15","730.95","722.55","723.80","727.47","793.40","501.55","1,52,05,043","11,06,12,61,059.95","2,03,852"
"18-Mar-2024","EQ","727.10","737.90","722.10","731.90","732.45","730.95","729.81","793.40","501.55","1,81,45,126","13,24,25,20,782.95","2,66,091"
"15-Mar-2024","EQ","739.25","746.55","723.00","741.05","732.65","731.90","731.27","793.40","501.55","2,97,92,241","21,78,60,99,985.35","3,82,516"
"14-Mar-2024","EQ","749.90","750.80","734.05","747.25","741.00","741.05","743.03","793.40","501.55","1,97,30,882","14,66,06,90,669.70","3,04,735"
